25982,115109.733
49732,111177.333
44087,104495.250
13635,103740.867
56934,100720.717
34266,95922.717
21960,90838.200
22319,89206.450
38819,87039.733
17928,85943.083
41704,84692.467
57870,83579.383
2875,82646.417
23570,82007.850
21237,81952.686
42804,81067.817
43878,80342.017
6744,80022.000
17463,79424.150
7196,79339.967
36059,79106.283
12900,78851.367
43930,78415.183
11955,77872.033
28827,76009.967
54412,75928.733
11613,75543.967
15846,75171.483
37357,75083.033
10426,74412.800
36546,74057.417
19693,73971.750
44302,72842.133
59455,72667.000
48143,72665.533
52845,72188.117
47352,72121.167
5480,71783.883
2914,71451.883
60614,71064.117
37859,71018.483
35385,70601.450
22989,70102.617
5311,70025.850
58481,69874.083
47549,69612.333
62910,68805.967
52525,68724.833
38980,68565.600
53666,68536.100
8486,68443.860
60196,68059.717
19673,67937.700
54863,67832.300
45666,67623.400
53750,67194.617
53642,66996.517
60490,66800.550
19242,66741.033
22882,66673.650
6383,66673.200
58293,66304.833
55448,65968.000
33148,65415.083
5258,65106.000
20176,64873.283
58458,64770.233
28263,64469.867
38117,64391.567
47726,64292.133
43764,64200.000
38148,64122.583
21494,63947.317
2522,63942.967
35418,63121.733
53654,62897.583
48424,62251.533
60564,62181.017
20255,62062.819
2983,62036.017
38321,61962.650
26377,61917.100
48502,61728.700
36486,61712.967
31125,61582.283
31451,61409.000
60219,61355.983
63138,61239.650
42958,61170.233
4248,61002.500
48434,60717.850
34122,60688.983
30185,60649.483
21496,60244.333
3541,60215.600
2545,60199.117
61003,60045.750
20324,60020.517
9568,60012.983
50520,59933.133
